!Series_title	"Subcutaneous adipose gene expression from men in the METSIM cohort"
!Series_sample_id	"GSM3988023 GSM3988024 GSM3988025 GSM3988026 GSM3988027 GSM3988028 GSM3988029 GSM3988030 GSM3988031 GSM3988032 GSM3988033 GSM3988034 GSM3988035 GSM3988036 GSM3988037 GSM3988038 GSM3988039 GSM3988040 GSM3988041 GSM3988042 GSM3988043 GSM3988044 GSM3988045 GSM3988046 GSM3988047 GSM3988048 GSM3988049 GSM3988050 GSM3988051 GSM3988052 GSM3988053 GSM3988054 GSM3988055 GSM3988056 GSM3988057 GSM3988058 GSM3988059 GSM3988060 GSM3988061 GSM3988062 GSM3988063 GSM3988064 GSM3988065 GSM3988066 GSM3988067 GSM3988068 GSM3988069 GSM3988070 GSM3988071 GSM3988072 GSM3988073 GSM3988074 GSM3988075 GSM3988076 GSM3988077 GSM3988078 GSM3988079 GSM3988080 GSM3988081 GSM3988082 GSM3988083 GSM3988084 GSM3988085 GSM3988086 GSM3988087 GSM3988088 GSM3988089 GSM3988090 GSM3988091 GSM3988092 GSM3988093 GSM3988094 GSM3988095 GSM3988096 GSM3988097 GSM3988098 GSM3988099 GSM3988100 GSM3988101 GSM3988102 GSM3988103 GSM3988104 GSM3988105 GSM3988106 GSM3988107 GSM3988108 GSM3988109 GSM3988110 GSM3988111 GSM3988112 GSM3988113 GSM3988114 GSM3988115 GSM3988116 GSM3988117 GSM3988118 GSM3988119 GSM3988120 GSM3988121 GSM3988122 GSM3988123 GSM3988124 GSM3988125 GSM3988126 GSM3988127 GSM3988128 GSM3988129 GSM3988130 GSM3988131 GSM3988132 GSM3988133 GSM3988134 GSM3988135 GSM3988136 GSM3988137 GSM3988138 GSM3988139 GSM3988140 GSM3988141 GSM3988142 GSM3988143 GSM3988144 GSM3988145 GSM3988146 GSM3988147 GSM3988148 GSM3988149 GSM3988150 GSM3988151 GSM3988152 GSM3988153 GSM3988154 GSM3988155 GSM3988156 GSM3988157 GSM3988158 GSM3988159 GSM3988160 GSM3988161 GSM3988162 GSM3988163 GSM3988164 GSM3988165 GSM3988166 GSM3988167 GSM3988168 GSM3988169 GSM3988170 GSM3988171 GSM3988172 GSM3988173 GSM3988174 GSM3988175 GSM3988176 GSM3988177 GSM3988178 GSM3988179 GSM3988180 GSM3988181 GSM3988182 GSM3988183 GSM3988184 GSM3988185 GSM3988186 GSM3988187 GSM3988188 GSM3988189 GSM3988190 GSM3988191 GSM3988192 GSM3988193 GSM3988194 GSM3988195 GSM3988196 GSM3988197 GSM3988198 GSM3988199 GSM3988200 GSM3988201 GSM3988202 GSM3988203 GSM3988204 GSM3988205 GSM3988206 GSM3988207 GSM3988208 GSM3988209 GSM3988210 GSM3988211 GSM3988212 GSM3988213 GSM3988214 GSM3988215 GSM3988216 GSM3988217 GSM3988218 GSM3988219 GSM3988220 GSM3988221 GSM3988222 GSM3988223 GSM3988224 GSM3988225 GSM3988226 GSM3988227 GSM3988228 GSM3988229 GSM3988230 GSM3988231 GSM3988232 GSM3988233 GSM3988234 GSM3988235 GSM3988236 GSM3988237 GSM3988238 GSM3988239 GSM3988240 GSM3988241 GSM3988242 GSM3988243 GSM3988244 GSM3988245 GSM3988246 GSM3988247 GSM3988248 GSM3988249 GSM3988250 GSM3988251 GSM3988252 GSM3988253 GSM3988254 GSM3988255 GSM3988256 GSM3988257 GSM3988258 GSM3988259 GSM3988260 GSM3988261 GSM3988262 GSM3988263 GSM3988264 GSM3988265 GSM3988266 GSM3988267 GSM3988268 GSM3988269 GSM3988270 GSM3988271 GSM3988272 GSM3988273 GSM3988274 GSM3988275 GSM3988276 GSM3988277 GSM3988278 GSM3988279 GSM3988280 GSM3988281 GSM3988282 GSM3988283 GSM3988284 GSM3988285 GSM3988286 GSM3988287 GSM3988288 GSM3988289 GSM3988290 GSM3988291 GSM3988292 GSM3988293 GSM3988294 GSM3988295 GSM3988296 GSM3988297 GSM3988298 GSM3988299 GSM3988300 GSM3988301 GSM3988302 GSM3988303 GSM3988304 GSM3988305 GSM3988306 GSM3988307 GSM3988308 GSM3988309 GSM3988310 GSM3988311 GSM3988312 GSM3988313 GSM3988314 GSM3988315 GSM3988316 GSM3988317 GSM3988318 GSM3988319 GSM3988320 GSM3988321 GSM3988322 GSM3988323 GSM3988324 GSM3988325 GSM3988326 GSM3988327 GSM3988328 GSM3988329 GSM3988330 GSM3988331 GSM3988332 GSM3988333 GSM3988334 GSM3988335 GSM3988336 GSM3988337 GSM3988338 GSM3988339 GSM3988340 GSM3988341 GSM3988342 GSM3988343 GSM3988344 GSM3988345 GSM3988346 GSM3988347 GSM3988348 GSM3988349 GSM3988350 GSM3988351 GSM3988352 GSM3988353 GSM3988354 GSM3988355 GSM3988356 GSM3988357 GSM3988358 GSM3988359 GSM3988360 GSM3988361 GSM3988362 GSM3988363 GSM3988364 GSM3988365 GSM3988366 GSM3988367 GSM3988368 GSM3988369 GSM3988370 GSM3988371 GSM3988372 GSM3988373 GSM3988374 GSM3988375 GSM3988376 GSM3988377 GSM3988378 GSM3988379 GSM3988380 GSM3988381 GSM3988382 GSM3988383 GSM3988384 GSM3988385 GSM3988386 GSM3988387 GSM3988388 GSM3988389 GSM3988390 GSM3988391 GSM3988392 GSM3988393 GSM3988394 GSM3988395 GSM3988396 GSM3988397 GSM3988398 GSM3988399 GSM3988400 GSM3988401 GSM3988402 GSM3988403 GSM3988404 GSM3988405 GSM3988406 GSM3988407 GSM3988408 GSM3988409 GSM3988410 GSM3988411 GSM3988412 GSM3988413 GSM3988414 GSM3988415 GSM3988416 GSM3988417 GSM3988418 GSM3988419 GSM3988420 GSM3988421 GSM3988422 GSM3988423 GSM3988424 GSM3988425 GSM3988426 GSM3988427 GSM3988428 GSM3988429 GSM3988430 GSM3988431 GSM3988432 GSM3988433 GSM3988434 GSM3988435 GSM3988436 GSM3988437 GSM3988438 GSM3988439 GSM3988440 GSM3988441 GSM3988442 GSM3988443 GSM3988444 GSM3988445 GSM3988446 GSM3988447 GSM3988448 GSM3988449 GSM3988450 GSM3988451 GSM3988452 GSM3988453 GSM3988454 GSM3988455 GSM3988456 "
!Series_contact_name	"Karen,L,Mohlke"
!Series_contact_laboratory	"Karen Mohlke"
!Series_contact_department	"Genetics"
!Series_contact_institute	"The University of North Carolina at Chapel Hill"
!Series_contact_address	"120 Mason Farm Rd"
!Series_contact_city	"Chapel Hill"
!Series_contact_state	"NC"
!Series_contact_zip/postal_code	"27599-7264"
!Series_contact_country	"USA"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135134/suppl/GSE135134_METSIM_subcutaneousAdipose_RNAseq_TPMs_n434.txt.gz"
!Series_platform_id	"GPL17553"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA557493"

!Sample_title	"377"	"1044"	"6689"	"2278"	"10070"	"493"	"2230"	"2808"	"4481"	"6106"	"7038"	"1147"	"2812"	"4008"	"4544"	"6807"	"780"	"1947"	"2320"	"6055"	"5084"	"7501"	"2363"	"5633"	"5953"	"5210"	"6548"	"1964"	"2481"	"4311"	"5307"	"6907"	"7517"	"10377"	"960"	"2050"	"4321"	"5453"	"1971"	"10385"	"2554"	"2881"	"5550"	"472"	"10664"	"379"	"420"	"441"	"449"	"495"	"535"	"539"	"553"	"579"	"602"	"618"	"634"	"635"	"718"	"758"	"787"	"799"	"993"	"847"	"854"	"998"	"582"	"1018"	"1049"	"1058"	"1082"	"1211"	"5295"	"1234"	"1269"	"1280"	"1301"	"1344"	"5974"	"1436"	"1447"	"1454"	"1496"	"1530"	"1578"	"1637"	"1655"	"1955"	"1686"	"1738"	"558"	"4492"	"1796"	"1944"	"4357"	"2091"	"2113"	"2129"	"2131"	"5532"	"2198"	"627"	"2226"	"2260"	"2262"	"2264"	"7700"	"11282"	"2375"	"2403"	"2421"	"8100"	"2436"	"2469"	"10062"	"10530"	"2513"	"2514"	"2580"	"2583"	"2590"	"2599"	"2605"	"2714"	"7305"	"2736"	"2741"	"4589"	"2748"	"2769"	"2871"	"2391"	"2886"	"2892"	"2902"	"2912"	"7111"	"3944"	"3985"	"3995"	"4000"	"4148"	"4154"	"4219"	"4420"	"4455"	"4479"	"5983"	"2877"	"4821"	"4856"	"11267"	"4986"	"5135"	"5166"	"5242"	"5283"	"5365"	"5386"	"5481"	"5668"	"5949"	"1698"	"6469"	"7226"	"6564"	"6632"	"6639"	"7366"	"2100"	"6851"	"1726"	"6875"	"6886"	"4510"	"6922"	"7021"	"7096"	"7126"	"7136"	"7222"	"7819"	"7295"	"7352"	"10081"	"6327"	"7626"	"10012"	"10039"	"10096"	"10688"	"10300"	"10390"	"10425"	"10437"	"10016"	"10548"	"10565"	"10567"	"10704"	"10738"	"10752"	"10790"	"10805"	"10392"	"10886"	"904"	"490"	"7552"	"817"	"906"	"1111"	"1167"	"1784"	"2044"	"2415"	"2687"	"2692"	"2760"	"2869"	"4403"	"4485"	"4951"	"5203"	"5381"	"5538"	"5606"	"5845"	"6006"	"6557"	"6572"	"378"	"541"	"1524"	"5009"	"1517"	"1408"	"7246"	"697"	"2974"	"4509"	"1157"	"1278"	"6553"	"7601"	"482"	"520"	"575"	"598"	"844"	"874"	"908"	"951"	"1086"	"1160"	"1162"	"1165"	"1223"	"1228"	"1303"	"1343"	"1353"	"1366"	"1452"	"1483"	"1504"	"1516"	"1518"	"1619"	"1653"	"1666"	"1674"	"1678"	"1702"	"1725"	"1757"	"1764"	"1768"	"1777"	"1840"	"1892"	"1896"	"1915"	"1924"	"2019"	"2057"	"2165"	"2261"	"2338"	"2474"	"2488"	"2655"	"2775"	"4336"	"4644"	"5263"	"5273"	"5352"	"5458"	"5470"	"5510"	"5521"	"5530"	"5571"	"5859"	"5901"	"5935"	"5951"	"6051"	"6083"	"6101"	"6183"	"6200"	"6283"	"6419"	"6433"	"6484"	"6515"	"6517"	"6589"	"6671"	"6675"	"6680"	"6684"	"6725"	"6781"	"6835"	"6959"	"6969"	"6978"	"7080"	"7343"	"7421"	"7436"	"7530"	"7611"	"7897"	"7927"	"7948"	"7954"	"7988"	"8067"	"10049"	"10482"	"10252"	"10271"	"10381"	"10389"	"10419"	"10691"	"10830"	"10097"	"10108"	"10156"	"10247"	"10292"	"10373"	"10521"	"10534"	"10697"	"10715"	"10903"	"10940"	"11000"	"11102"	"11132"	"11149"	"1803"	"422"	"10864"	"7091"	"1502"	"1063"	"10829"	"1020"	"11658"	"11724"	"11731"	"11735"	"11765"	"1257"	"5525"	"1520"	"1573"	"1580"	"1649"	"6755"	"6266"	"1797"	"6135"	"1743"	"1747"	"1449"	"1855"	"1867"	"1974"	"2054"	"2064"	"2222"	"2281"	"2430"	"2519"	"2785"	"2935"	"369"	"4123"	"6287"	"4370"	"4380"	"4649"	"4822"	"5006"	"555"	"6040"	"6366"	"6425"	"6525"	"6628"	"6855"	"7033"	"7200"	"7362"	"7381"	"7384"	"7431"	"7462"	"7624"	"7791"	"7921"	"7930"	"8075"	"8302"	"880"	"10510"
!Sample_geo_accession	"GSM3988023"	"GSM3988024"	"GSM3988025"	"GSM3988026"	"GSM3988027"	"GSM3988028"	"GSM3988029"	"GSM3988030"	"GSM3988031"	"GSM3988032"	"GSM3988033"	"GSM3988034"	"GSM3988035"	"GSM3988036"	"GSM3988037"	"GSM3988038"	"GSM3988039"	"GSM3988040"	"GSM3988041"	"GSM3988042"	"GSM3988043"	"GSM3988044"	"GSM3988045"	"GSM3988046"	"GSM3988047"	"GSM3988048"	"GSM3988049"	"GSM3988050"	"GSM3988051"	"GSM3988052"	"GSM3988053"	"GSM3988054"	"GSM3988055"	"GSM3988056"	"GSM3988057"	"GSM3988058"	"GSM3988059"	"GSM3988060"	"GSM3988061"	"GSM3988062"	"GSM3988063"	"GSM3988064"	"GSM3988065"	"GSM3988066"	"GSM3988067"	"GSM3988068"	"GSM3988069"	"GSM3988070"	"GSM3988071"	"GSM3988072"	"GSM3988073"	"GSM3988074"	"GSM3988075"	"GSM3988076"	"GSM3988077"	"GSM3988078"	"GSM3988079"	"GSM3988080"	"GSM3988081"	"GSM3988082"	"GSM3988083"	"GSM3988084"	"GSM3988085"	"GSM3988086"	"GSM3988087"	"GSM3988088"	"GSM3988089"	"GSM3988090"	"GSM3988091"	"GSM3988092"	"GSM3988093"	"GSM3988094"	"GSM3988095"	"GSM3988096"	"GSM3988097"	"GSM3988098"	"GSM3988099"	"GSM3988100"	"GSM3988101"	"GSM3988102"	"GSM3988103"	"GSM3988104"	"GSM3988105"	"GSM3988106"	"GSM3988107"	"GSM3988108"	"GSM3988109"	"GSM3988110"	"GSM3988111"	"GSM3988112"	"GSM3988113"	"GSM3988114"	"GSM3988115"	"GSM3988116"	"GSM3988117"	"GSM3988118"	"GSM3988119"	"GSM3988120"	"GSM3988121"	"GSM3988122"	"GSM3988123"	"GSM3988124"	"GSM3988125"	"GSM3988126"	"GSM3988127"	"GSM3988128"	"GSM3988129"	"GSM3988130"	"GSM3988131"	"GSM3988132"	"GSM3988133"	"GSM3988134"	"GSM3988135"	"GSM3988136"	"GSM3988137"	"GSM3988138"	"GSM3988139"	"GSM3988140"	"GSM3988141"	"GSM3988142"	"GSM3988143"	"GSM3988144"	"GSM3988145"	"GSM3988146"	"GSM3988147"	"GSM3988148"	"GSM3988149"	"GSM3988150"	"GSM3988151"	"GSM3988152"	"GSM3988153"	"GSM3988154"	"GSM3988155"	"GSM3988156"	"GSM3988157"	"GSM3988158"	"GSM3988159"	"GSM3988160"	"GSM3988161"	"GSM3988162"	"GSM3988163"	"GSM3988164"	"GSM3988165"	"GSM3988166"	"GSM3988167"	"GSM3988168"	"GSM3988169"	"GSM3988170"	"GSM3988171"	"GSM3988172"	"GSM3988173"	"GSM3988174"	"GSM3988175"	"GSM3988176"	"GSM3988177"	"GSM3988178"	"GSM3988179"	"GSM3988180"	"GSM3988181"	"GSM3988182"	"GSM3988183"	"GSM3988184"	"GSM3988185"	"GSM3988186"	"GSM3988187"	"GSM3988188"	"GSM3988189"	"GSM3988190"	"GSM3988191"	"GSM3988192"	"GSM3988193"	"GSM3988194"	"GSM3988195"	"GSM3988196"	"GSM3988197"	"GSM3988198"	"GSM3988199"	"GSM3988200"	"GSM3988201"	"GSM3988202"	"GSM3988203"	"GSM3988204"	"GSM3988205"	"GSM3988206"	"GSM3988207"	"GSM3988208"	"GSM3988209"	"GSM3988210"	"GSM3988211"	"GSM3988212"	"GSM3988213"	"GSM3988214"	"GSM3988215"	"GSM3988216"	"GSM3988217"	"GSM3988218"	"GSM3988219"	"GSM3988220"	"GSM3988221"	"GSM3988222"	"GSM3988223"	"GSM3988224"	"GSM3988225"	"GSM3988226"	"GSM3988227"	"GSM3988228"	"GSM3988229"	"GSM3988230"	"GSM3988231"	"GSM3988232"	"GSM3988233"	"GSM3988234"	"GSM3988235"	"GSM3988236"	"GSM3988237"	"GSM3988238"	"GSM3988239"	"GSM3988240"	"GSM3988241"	"GSM3988242"	"GSM3988243"	"GSM3988244"	"GSM3988245"	"GSM3988246"	"GSM3988247"	"GSM3988248"	"GSM3988249"	"GSM3988250"	"GSM3988251"	"GSM3988252"	"GSM3988253"	"GSM3988254"	"GSM3988255"	"GSM3988256"	"GSM3988257"	"GSM3988258"	"GSM3988259"	"GSM3988260"	"GSM3988261"	"GSM3988262"	"GSM3988263"	"GSM3988264"	"GSM3988265"	"GSM3988266"	"GSM3988267"	"GSM3988268"	"GSM3988269"	"GSM3988270"	"GSM3988271"	"GSM3988272"	"GSM3988273"	"GSM3988274"	"GSM3988275"	"GSM3988276"	"GSM3988277"	"GSM3988278"	"GSM3988279"	"GSM3988280"	"GSM3988281"	"GSM3988282"	"GSM3988283"	"GSM3988284"	"GSM3988285"	"GSM3988286"	"GSM3988287"	"GSM3988288"	"GSM3988289"	"GSM3988290"	"GSM3988291"	"GSM3988292"	"GSM3988293"	"GSM3988294"	"GSM3988295"	"GSM3988296"	"GSM3988297"	"GSM3988298"	"GSM3988299"	"GSM3988300"	"GSM3988301"	"GSM3988302"	"GSM3988303"	"GSM3988304"	"GSM3988305"	"GSM3988306"	"GSM3988307"	"GSM3988308"	"GSM3988309"	"GSM3988310"	"GSM3988311"	"GSM3988312"	"GSM3988313"	"GSM3988314"	"GSM3988315"	"GSM3988316"	"GSM3988317"	"GSM3988318"	"GSM3988319"	"GSM3988320"	"GSM3988321"	"GSM3988322"	"GSM3988323"	"GSM3988324"	"GSM3988325"	"GSM3988326"	"GSM3988327"	"GSM3988328"	"GSM3988329"	"GSM3988330"	"GSM3988331"	"GSM3988332"	"GSM3988333"	"GSM3988334"	"GSM3988335"	"GSM3988336"	"GSM3988337"	"GSM3988338"	"GSM3988339"	"GSM3988340"	"GSM3988341"	"GSM3988342"	"GSM3988343"	"GSM3988344"	"GSM3988345"	"GSM3988346"	"GSM3988347"	"GSM3988348"	"GSM3988349"	"GSM3988350"	"GSM3988351"	"GSM3988352"	"GSM3988353"	"GSM3988354"	"GSM3988355"	"GSM3988356"	"GSM3988357"	"GSM3988358"	"GSM3988359"	"GSM3988360"	"GSM3988361"	"GSM3988362"	"GSM3988363"	"GSM3988364"	"GSM3988365"	"GSM3988366"	"GSM3988367"	"GSM3988368"	"GSM3988369"	"GSM3988370"	"GSM3988371"	"GSM3988372"	"GSM3988373"	"GSM3988374"	"GSM3988375"	"GSM3988376"	"GSM3988377"	"GSM3988378"	"GSM3988379"	"GSM3988380"	"GSM3988381"	"GSM3988382"	"GSM3988383"	"GSM3988384"	"GSM3988385"	"GSM3988386"	"GSM3988387"	"GSM3988388"	"GSM3988389"	"GSM3988390"	"GSM3988391"	"GSM3988392"	"GSM3988393"	"GSM3988394"	"GSM3988395"	"GSM3988396"	"GSM3988397"	"GSM3988398"	"GSM3988399"	"GSM3988400"	"GSM3988401"	"GSM3988402"	"GSM3988403"	"GSM3988404"	"GSM3988405"	"GSM3988406"	"GSM3988407"	"GSM3988408"	"GSM3988409"	"GSM3988410"	"GSM3988411"	"GSM3988412"	"GSM3988413"	"GSM3988414"	"GSM3988415"	"GSM3988416"	"GSM3988417"	"GSM3988418"	"GSM3988419"	"GSM3988420"	"GSM3988421"	"GSM3988422"	"GSM3988423"	"GSM3988424"	"GSM3988425"	"GSM3988426"	"GSM3988427"	"GSM3988428"	"GSM3988429"	"GSM3988430"	"GSM3988431"	"GSM3988432"	"GSM3988433"	"GSM3988434"	"GSM3988435"	"GSM3988436"	"GSM3988437"	"GSM3988438"	"GSM3988439"	"GSM3988440"	"GSM3988441"	"GSM3988442"	"GSM3988443"	"GSM3988444"	"GSM3988445"	"GSM3988446"	"GSM3988447"	"GSM3988448"	"GSM3988449"	"GSM3988450"	"GSM3988451"	"GSM3988452"	"GSM3988453"	"GSM3988454"	"GSM3988455"	"GSM3988456"
